product_id,product_name,category,price
1,Product_1,Books,513.78
2,Product_2,Sports,280.69
3,Product_3,Home,836.38
4,Product_4,Home,980.44
5,Product_5,Sports,251.29
6,Product_6,Clothing,555.75
7,Product_7,Electronics,389.75
8,Product_8,Clothing,922.65
9,Product_9,Sports,513.16
10,Product_10,Clothing,880.53
11,Product_11,Sports,865.39
12,Product_12,Home,283.48
13,Product_13,Home,792.11
14,Product_14,Clothing,420.79
15,Product_15,Clothing,934.91
16,Product_16,Electronics,512.66
17,Product_17,Home,822.34
18,Product_18,Electronics,290.01
19,Product_19,Clothing,305.57
20,Product_20,Sports,591.07
21,Product_21,Home,998.91
22,Product_22,Sports,494.74
23,Product_23,Electronics,157.11
24,Product_24,Electronics,543.19
25,Product_25,Books,351.67
26,Product_26,Home,556.4
27,Product_27,Home,548.0
28,Product_28,Electronics,460.79
29,Product_29,Sports,328.56
30,Product_30,Home,196.77
31,Product_31,Electronics,700.52
32,Product_32,Books,576.08
33,Product_33,Clothing,241.23
34,Product_34,Home,777.79
35,Product_35,Clothing,53.21
36,Product_36,Sports,747.26
37,Product_37,Books,708.18
38,Product_38,Home,813.29
39,Product_39,Clothing,392.22
40,Product_40,Clothing,667.05
41,Product_41,Electronics,822.54
42,Product_42,Clothing,981.01
43,Product_43,Sports,500.38
44,Product_44,Clothing,46.65
45,Product_45,Sports,507.27
46,Product_46,Sports,594.28
47,Product_47,Electronics,871.0
48,Product_48,Books,875.45
49,Product_49,Sports,445.9
50,Product_50,Clothing,530.69
51,Product_51,Clothing,462.36
52,Product_52,Sports,725.22
53,Product_53,Clothing,415.88
54,Product_54,Home,658.23
55,Product_55,Electronics,162.82
56,Product_56,Clothing,474.8
57,Product_57,Electronics,969.51
58,Product_58,Sports,345.18
59,Product_59,Sports,695.78
60,Product_60,Sports,653.34
61,Product_61,Electronics,853.25
62,Product_62,Clothing,853.82
63,Product_63,Home,860.75
64,Product_64,Electronics,386.21
65,Product_65,Home,323.49
66,Product_66,Clothing,721.53
67,Product_67,Clothing,761.81
68,Product_68,Electronics,873.66
69,Product_69,Books,45.54
70,Product_70,Home,77.74
71,Product_71,Sports,634.85
72,Product_72,Home,921.72
73,Product_73,Clothing,997.45
74,Product_74,Clothing,749.3
75,Product_75,Electronics,439.63
76,Product_76,Books,107.46
77,Product_77,Sports,637.41
78,Product_78,Home,873.85
79,Product_79,Books,449.24
80,Product_80,Sports,697.06
81,Product_81,Clothing,904.39
82,Product_82,Clothing,55.53
83,Product_83,Electronics,798.18
84,Product_84,Electronics,300.43
85,Product_85,Home,381.09
86,Product_86,Books,154.11
87,Product_87,Books,535.85
88,Product_88,Sports,570.27
89,Product_89,Home,794.59
90,Product_90,Electronics,178.28
91,Product_91,Home,88.18
92,Product_92,Clothing,872.13
93,Product_93,Electronics,623.51
94,Product_94,Books,248.42
95,Product_95,Electronics,913.7
96,Product_96,Clothing,151.69
97,Product_97,Electronics,466.54
98,Product_98,Books,261.44
99,Product_99,Clothing,262.77
100,Product_100,Sports,19.3
